keyword,recent_count,prior_count,growth
community advisory committee,30,0,999.0
new treatment approach,200,0,999.0
bases,135,0,999.0
overdose reduction,89,0,999.0
translational opportunities,62,0,999.0
antagonist,542,0,999.0
marijuana use and disorder,62,0,999.0
marginalized people,62,0,999.0
marginalized individual,62,0,999.0
ethnic individual,90,0,999.0
marginalized group,62,0,999.0
autism spectral disorder,43,0,999.0
asd,43,0,999.0
neurocognitive impairment in hiv-1,43,0,999.0
neurocognitive impairment in hiv,43,0,999.0
cocaine addicted,132,0,999.0
model developments,31,0,999.0
polymer,31,0,999.0
polymeric,31,0,999.0
resolutions,339,0,999.0
psychiatric comorbidity,91,0,999.0
psychiatric co-morbidity,91,0,999.0
hiv-1 associated neurocognitive impairment,43,0,999.0
addiction to psychostimulants,56,0,999.0
addiction to stimulants,56,0,999.0
research and methods,187,0,999.0
coping with stress,48,0,999.0
neural inflammation,135,0,999.0
reduce overdose,89,0,999.0
reduction in overdose,89,0,999.0
alcohol dependent,352,0,999.0
reducing risk,141,0,999.0
coronavirus disease 2019 consequence,35,0,999.0
low-resource area,61,0,999.0
reducing the risk,141,0,999.0
risk-reducing,141,0,999.0
biologics,61,0,999.0
coronavirus disease 2019 effect,35,0,999.0
coronavirus disease 2019 impact,35,0,999.0
structural determinants,41,0,999.0
structural factors,41,0,999.0
electronic health medical record,138,0,999.0
alcohol-related liver disease,48,0,999.0
snrna sequencing,41,0,999.0
electronic health plan record,138,0,999.0
electronic health registry,138,0,999.0
electronic medical health record,138,0,999.0
coronavirus disease-19 impact,35,0,999.0
pain measure,43,0,999.0
ethnic subgroup,62,0,999.0
economic assessment,41,0,999.0
customs,41,0,999.0
graduate school,41,0,999.0
single-nucleus sequencing,41,0,999.0
single nucleus seq,41,0,999.0
induced pluripotent cell,56,0,999.0
cell phone based app,56,0,999.0
mobile phone app,56,0,999.0
gene regulatory network,46,0,999.0
dissemination science,32,0,999.0
coronavirus disease-19,191,0,999.0
methamphetamine use disorder,78,0,999.0
abuse liability,319,0,999.0
abuse potential,319,0,999.0
meth use disorder,78,0,999.0
self-administer cocaine,318,0,999.0
cocaine use disorder,193,0,999.0
under served individual,78,0,999.0
underserved individual,78,0,999.0
hispanic group,35,0,999.0
medication for opioid use disorder,197,0,999.0
machine based learning,191,0,999.0
efficacy determination,198,0,999.0
self administered,600,0,999.0
determine efficacy,198,0,999.0
hispanic individual,35,0,999.0
hispanic people,35,0,999.0
barriers to implementation,92,0,999.0
