keyword,recent_count,prior_count,growth
深度学习,2,0,999.0
CDK7,3,0,999.0
消退,2,0,999.0
冰毒成瘾,2,0,999.0
抗成瘾,2,0,999.0
作用机制,2,0,999.0
GABAB受体,2,0,999.0
神经反馈,3,0,999.0
转录成瘾,2,0,999.0
槟榔成瘾,2,0,999.0
前额叶皮层,2,0,999.0
脑电,2,0,999.0
肠道菌群,3,1,17.0
用户行为,2,1,11.33
氯胺酮成瘾,2,1,11.33
阿片受体,2,1,11.33
功能磁共振,3,2,8.5
可卡因成瘾,2,2,5.67
毒品成瘾,2,2,5.67
成瘾行为,2,2,5.67
神经影像,2,3,3.78
伏隔核,5,8,3.54
复吸,3,5,3.4
神经环路,4,7,3.24
药物成瘾,13,24,3.07
神经可塑性,2,4,2.83
吗啡成瘾,3,6,2.83
尼古丁成瘾,2,4,2.83
渴求,3,6,2.83
成瘾记忆,6,12,2.83
甲基苯丙胺,6,13,2.62
吗啡,6,17,2.0
成瘾,8,26,1.74
突触可塑性,4,13,1.74
网络游戏成瘾,2,7,1.62
海马,2,7,1.62
